(0, 'Wieslaw' , 'Kiepski' , 'Tester'),
(1, 'Geralt' , 'Walaszek' , 'Grafik'),
(2, 'Dawid' , 'Kowalski' , 'Tester'),
(3, 'Lech' , 'Smołka' , 'Programista'),
(4, 'Lech' , 'Buczek' , 'Programista'),
(5, 'Donald' , 'Buczek' , 'Tester'),
(6, 'Janina' , 'Bomba' , 'Designer'),
(7, 'Julia' , 'Tusk' , 'Programista'),
(8, 'Geralt' , 'Riv' , 'Programista'),
(9, 'Kamil' , 'Riv' , 'Designer'),
(10, 'Jan' , 'Szyba' , 'Designer'),
(11, 'Wesemir' , 'Smołka' , 'Grafik'),
(12, 'Julia' , 'Smołka' , 'Designer'),
(13, 'Olaf' , 'Walaszek' , 'Designer'),
(14, 'Julia' , 'Trump' , 'Programista'),
(15, 'Donald' , 'Smołka' , 'Designer'),
(16, 'Janina' , 'Kaczyński' , 'Designer'),
(17, 'Geralt' , 'Kowalski' , 'Programista'),
(18, 'Janina' , 'Smołka' , 'Designer'),
(19, 'Janina' , 'Paleta' , 'Tester'),
(20, 'Julia' , 'Pasternak' , 'Tester'),
(21, 'Kamil' , 'Kaczyński' , 'Tester'),
(22, 'Julia' , 'Tusk' , 'Grafik'),
(23, 'Wieslaw' , 'Riv' , 'Programista'),
(24, 'Janina' , 'Trump' , 'Tester'),
(25, 'Donald' , 'Szyba' , 'Programista'),
(26, 'Julia' , 'Riv' , 'Programista'),
(27, 'Jan' , 'Bomba' , 'Tester'),
(28, 'Donald' , 'Tusk' , 'Tester'),
(29, 'Julia' , 'Kiepski' , 'Grafik'),
(30, 'Julia' , 'Kiepski' , 'Tester'),
(31, 'Jan' , 'Smołka' , 'Tester'),
(32, 'Lech' , 'Tusk' , 'Programista'),
(33, 'Julia' , 'Walaszek' , 'Designer'),
(34, 'Lech' , 'Riv' , 'Grafik'),
(35, 'Lech' , 'Paleta' , 'Tester'),
(36, 'Julia' , 'Kowalski' , 'Programista'),
(37, 'Wieslaw' , 'Boczek' , 'Grafik'),
(38, 'Janina' , 'Paleta' , 'Programista'),
(39, 'Dawid' , 'Kiepski' , 'Grafik'),
(40, 'Olaf' , 'Bomba' , 'Programista'),
(41, 'Wesemir' , 'Pasternak' , 'Designer'),
(42, 'Yennefer' , 'Riv' , 'Designer'),
(43, 'Olaf' , 'Kaczyński' , 'Tester'),
(44, 'Wieslaw' , 'Tusk' , 'Tester'),
(45, 'Lech' , 'Buczek' , 'Designer'),
(46, 'Wieslaw' , 'Pasternak' , 'Programista'),
(47, 'Wieslaw' , 'Paleta' , 'Designer'),
(48, 'Yennefer' , 'Paleta' , 'Programista'),
(49, 'Yennefer' , 'Kiepski' , 'Grafik'),
(50, 'Jan' , 'Szyba' , 'Tester'),
(51, 'Janina' , 'Paleta' , 'Grafik'),
(52, 'Maria' , 'Buczek' , 'Tester'),
(53, 'Janina' , 'Kaczyński' , 'Designer'),
(54, 'Dawid' , 'Buczek' , 'Grafik'),
(55, 'Kamil' , 'Kiepski' , 'Programista'),
(56, 'Olaf' , 'Bomba' , 'Designer'),
(57, 'Jan' , 'Kaczyński' , 'Grafik'),
(58, 'Wesemir' , 'Pasternak' , 'Grafik'),
(59, 'Wesemir' , 'Szyba' , 'Grafik'),
(60, 'Jan' , 'Boczek' , 'Programista'),
(61, 'Donald' , 'Kowalski' , 'Tester'),
(62, 'Donald' , 'Kaczyński' , 'Designer'),
(63, 'Dawid' , 'Bomba' , 'Programista'),
(64, 'Jan' , 'Buczek' , 'Designer'),
(65, 'Maria' , 'Boczek' , 'Programista'),
(66, 'Lech' , 'Kaczyński' , 'Programista'),
(67, 'Lech' , 'Smołka' , 'Designer'),
(68, 'Yennefer' , 'Buczek' , 'Designer'),
(69, 'Julia' , 'Riv' , 'Designer'),
(70, 'Donald' , 'Bomba' , 'Grafik'),
(71, 'Julia' , 'Trump' , 'Tester'),
(72, 'Donald' , 'Walaszek' , 'Programista'),
(73, 'Janina' , 'Walaszek' , 'Designer'),
(74, 'Dawid' , 'Pasternak' , 'Grafik'),
(75, 'Geralt' , 'Bomba' , 'Tester'),
(76, 'Olaf' , 'Kowalski' , 'Tester'),
(77, 'Geralt' , 'Walaszek' , 'Tester'),
(78, 'Wesemir' , 'Pasternak' , 'Grafik'),
(79, 'Olaf' , 'Boczek' , 'Grafik'),
(80, 'Geralt' , 'Kiepski' , 'Tester'),
(81, 'Janina' , 'Riv' , 'Designer'),
(82, 'Maria' , 'Szyba' , 'Grafik'),
(83, 'Geralt' , 'Bomba' , 'Tester'),
(84, 'Olaf' , 'Smołka' , 'Grafik'),
(85, 'Jan' , 'Kowalski' , 'Tester'),
(86, 'Dawid' , 'Buczek' , 'Programista'),
(87, 'Julia' , 'Boczek' , 'Grafik'),
(88, 'Wieslaw' , 'Kaczyński' , 'Tester'),
(89, 'Kamil' , 'Pasternak' , 'Designer'),
(90, 'Yennefer' , 'Kowalski' , 'Grafik'),
(91, 'Olaf' , 'Smołka' , 'Grafik'),
(92, 'Jan' , 'Bomba' , 'Designer'),
(93, 'Lech' , 'Pasternak' , 'Grafik'),
(94, 'Lech' , 'Walaszek' , 'Designer'),
(95, 'Janina' , 'Bomba' , 'Programista'),
(96, 'Wieslaw' , 'Trump' , 'Grafik'),
(97, 'Julia' , 'Kiepski' , 'Programista'),
(98, 'Janina' , 'Riv' , 'Programista'),
(99, 'Kamil' , 'Walaszek' , 'Programista'),
(100, 'Yennefer' , 'Pasternak' , 'Grafik'),
(101, 'Olaf' , 'Paleta' , 'Designer'),
(102, 'Wieslaw' , 'Kiepski' , 'Programista'),
(103, 'Kamil' , 'Walaszek' , 'Grafik'),
(104, 'Yennefer' , 'Kiepski' , 'Designer'),
(105, 'Yennefer' , 'Pasternak' , 'Grafik'),
(106, 'Yennefer' , 'Buczek' , 'Programista'),
(107, 'Janina' , 'Kowalski' , 'Programista'),
(108, 'Lech' , 'Pasternak' , 'Programista'),
(109, 'Geralt' , 'Riv' , 'Programista'),
(110, 'Kamil' , 'Kowalski' , 'Designer'),
(111, 'Wesemir' , 'Szyba' , 'Programista'),
(112, 'Dawid' , 'Smołka' , 'Tester'),
(113, 'Janina' , 'Kiepski' , 'Designer'),
(114, 'Lech' , 'Paleta' , 'Grafik'),
(115, 'Julia' , 'Szyba' , 'Programista'),
(116, 'Donald' , 'Kaczyński' , 'Programista'),
(117, 'Geralt' , 'Kowalski' , 'Tester'),
(118, 'Jan' , 'Kowalski' , 'Grafik'),
(119, 'Wesemir' , 'Walaszek' , 'Programista'),
(120, 'Donald' , 'Tusk' , 'Programista'),
(121, 'Olaf' , 'Bomba' , 'Designer'),
(122, 'Geralt' , 'Smołka' , 'Programista'),
(123, 'Janina' , 'Boczek' , 'Tester'),
(124, 'Jan' , 'Buczek' , 'Tester'),
(125, 'Geralt' , 'Kaczyński' , 'Tester'),
(126, 'Donald' , 'Bomba' , 'Designer'),
(127, 'Dawid' , 'Tusk' , 'Designer'),
(128, 'Donald' , 'Buczek' , 'Programista'),
(129, 'Wesemir' , 'Bomba' , 'Grafik'),
(130, 'Geralt' , 'Boczek' , 'Grafik'),
(131, 'Kamil' , 'Walaszek' , 'Tester'),
(132, 'Dawid' , 'Walaszek' , 'Tester'),
(133, 'Jan' , 'Smołka' , 'Tester'),
(134, 'Yennefer' , 'Kaczyński' , 'Grafik'),
(135, 'Donald' , 'Kaczyński' , 'Grafik'),
(136, 'Wieslaw' , 'Pasternak' , 'Tester'),
(137, 'Janina' , 'Smołka' , 'Programista'),
(138, 'Kamil' , 'Riv' , 'Designer'),
(139, 'Wesemir' , 'Buczek' , 'Programista'),
(140, 'Lech' , 'Riv' , 'Programista'),
(141, 'Wesemir' , 'Walaszek' , 'Designer'),
(142, 'Maria' , 'Boczek' , 'Tester'),
(143, 'Yennefer' , 'Boczek' , 'Grafik'),
(144, 'Dawid' , 'Boczek' , 'Programista'),
